Id,SalePrice
1461,131919.97
1462,165936.61
1463,157702.23
1464,172654.94
1465,209585.1
1466,170412.42
1467,160353.3
1468,158878.73
1469,202274.19
1470,116380.32
1471,196227.73
1472,100151.445
1473,103870.9
1474,160725.27
1475,126542.7
1476,379509.78
1477,263457.78
1478,335670.7
1479,320445.97
1480,378561.8
1481,311811.53
1482,220044.02
1483,176031.38
1484,172271.19
1485,152903.88
1486,200115.14
1487,359207.06
1488,269837.75
1489,183203.22
1490,201826.48
1491,194956.33
1492,127375.93
1493,180222.28
1494,305413.03
1495,300627.12
1496,230503.5
1497,198798.08
1498,153038.45
1499,153038.45
1500,138581.06
1501,161061.67
1502,143441.36
1503,275836.0
1504,240262.11
1505,212618.55
1506,206306.08
1507,236336.5
1508,235996.08
1509,158855.17
1510,154605.31
1511,152783.52
1512,176356.06
1513,166951.11
1514,126362.445
1515,204671.02
1516,161994.97
1517,146849.61
1518,173553.56
1519,211398.56
1520,146437.1
1521,149578.58
1522,187401.92
1523,117358.484
1524,128522.28
1525,128839.52
1526,129294.74
1527,104804.21
1528,130603.06
1529,150648.44
1530,183964.53
1531,121751.69
1532,113793.9
1533,161918.05
1534,131474.02
1535,146378.5
1536,140387.92
1537,84810.26
1538,194436.86
1539,278832.75
1540,156243.8
1541,156571.6
1542,143772.02
1543,214083.58
1544,100534.52
1545,112373.44
1546,134719.06
1547,134526.12
1548,135569.06
1549,113806.72
1550,151758.6
1551,145181.55
1552,128646.32
1553,130200.15
1554,121563.83
1555,143918.97
1556,116179.01
1557,116229.49
1558,104488.94
1559,108058.51
1560,157276.12
1561,103374.516
1562,123352.17
1563,117318.94
1564,160732.58
1565,128758.93
1566,223446.17
1567,103847.95
1568,205562.4
1569,107659.266
1570,128627.24
1571,120365.05
1572,147227.28
1573,226521.97
1574,157569.08
1575,216254.69
1576,214089.64
1577,181718.27
1578,152323.58
1579,132467.97
1580,199382.06
1581,134275.23
1582,126982.12
1583,312329.12
1584,238748.05
1585,128152.21
1586,84371.03
1587,101208.63
1588,148228.92
1589,111802.48
1590,142774.9
1591,101745.125
1592,143984.1
1593,128607.85
1594,185746.69
1595,125768.93
1596,202740.83
1597,181395.16
1598,176493.05
1599,191081.4
1600,200024.9
1601,82295.66
1602,128911.56
1603,110381.59
1604,272711.88
1605,264919.06
1606,169235.25
1607,224066.6
1608,207252.64
1609,179391.19
1610,122792.8
1611,147352.62
1612,172655.66
1613,159857.66
1614,124617.74
1615,91936.5
1616,91936.5
1617,98935.805
1618,120274.125
1619,123083.266
1620,300860.38
1621,121946.64
1622,136774.9
1623,268856.88
1624,195750.72
1625,131097.34
1626,186492.83
1627,173531.1
1628,292166.75
1629,172338.14
1630,324967.5
1631,230866.1
1632,259015.2
1633,153354.36
1634,175377.86
1635,159541.52
1636,161037.89
1637,176788.1
1638,223771.03
1639,201955.88
1640,271702.28
1641,194102.44
1642,216601.23
1643,245080.98
1644,236713.2
1645,183501.36
1646,152801.9
1647,176169.89
1648,151098.75
1649,137257.53
1650,115381.22
1651,115381.22
1652,100151.445
1653,100971.414
1654,164926.98
1655,163061.16
1656,160725.27
1657,164926.98
1658,160725.27
1659,128158.13
1660,135187.77
1661,449432.06
1662,400642.25
1663,371652.1
1664,450290.72
1665,340594.34
1666,316845.88
1667,368215.53
1668,341799.84
1669,316677.9
1670,347887.22
1671,241306.44
1672,401625.75
1673,332441.38
1674,270561.3
