Id,SalePrice
1461,130574.38149210578
1462,165439.32727998839
1463,166438.27797834028
1464,179585.91073001805
1465,206667.12781338533
1466,175598.58011822094
1467,165748.7431870147
1468,165631.18330995797
1469,191985.500223835
1470,112389.84384123815
1471,198659.104874056
1472,119638.90254071844
1473,113240.62606079558
1474,169079.423357728
1475,140414.09721640006
1476,344260.0422592859
1477,246066.61597742344
1478,316485.541117809
1479,309725.0018049516
1480,409810.74087667913
1481,279960.2442998617
1482,213114.32820998426
1483,177731.87636799554
1484,178412.86243901573
1485,163975.90622083726
1486,196673.47168163038
1487,345112.6221434185
1488,250615.73173540205
1489,193045.09757739288
1490,241135.36189093857
1491,194474.17442895044
1492,123376.04798963973
1493,183881.1491455971
1494,270539.1286254491
1495,267989.61680895794
1496,256790.98946684308
1497,199581.33259264097
1498,164796.21171355588
1499,164796.21171355588
1500,151670.53420128947
1501,168522.88103522224
1502,157347.0722452085
1503,286838.1826898261
1504,227036.030172822
1505,212196.50940926909
1506,222270.975488632
1507,240779.8058955107
1508,214338.2755742949
1509,170586.32552474274
1510,154162.42073574706
1511,152821.5056080825
1512,181056.2351068054
1513,176684.4395096022
1514,169951.3358698017
1515,212050.16346297078
1516,173132.27773580697
1517,147894.0643068541
1518,190791.10891078477
1519,212108.11401171223
1520,135454.8454416216
1521,140678.10190499722
1522,185021.37736240434
1523,118075.46791208073
1524,123381.36310272357
1525,121565.07782613047
1526,121353.45662054622
1527,113797.90635219937
1528,142462.83942368563
1529,149349.45278854997
1530,180316.5698881282
1531,138533.04757134768
1532,102625.56114830115
1533,165662.7860820117
1534,142650.97659111378
1535,152632.5910602326
1536,136301.2174578819
1537,83320.741027398
1538,196060.4281032368
1539,233144.4524027393
1540,166863.01166984224
1541,169460.36744934486
1542,154952.73977403564
1543,208675.19600810192
1544,86190.80535321694
1545,129790.92981058144
1546,149496.47377691747
1547,138015.48699068534
1548,151649.80918299165
1549,126897.63539328988
1550,161912.26907974327
1551,145228.72127783278
1552,166016.52843273847
1553,142249.71272982462
1554,138553.31192037842
1555,176232.528332993
1556,119883.2276234398
1557,133485.1730612116
1558,119001.48109667748
1559,126225.94317828344
1560,165540.91940750086
1561,163482.7798752288
